UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Express Tribune,@etribune,2022-01-10T13:59:20.000Z,"The Express Tribune
@etribune
·
10 Jan","Most wanted #TTP commander Muhammad Khorasani killed in Afghanistan
#etribune #BreakingNews #latest
tribune.com.pk
Most wanted TTP commander killed in Afghanistan
Khurassani was appointed as spokesperson for the terrorist outfit in 2014
5
13
60",,5,13,60,[],https://twitter.com/etribune/status/1480539761207037957
The Express Tribune,@etribune,2022-01-10T13:12:52.000Z,"The Express Tribune
@etribune
·
10 Jan","The saying that dogs are a man's best friend was set in stone in Colombia as footage of a homeless man celebrating his birthday with his two four-legged friends went viral. 

For more: https://tribune.com.pk

#etribune  #Colombia #viralvideo
1
5
20",,1,5,20,['https://pbs.twimg.com/amplify_video_thumb/1480527568168267783/img/pUzraXZpLeLz6UV4.jpg'],https://twitter.com/etribune/status/1480528066409545741
The Express Tribune,@etribune,2022-01-11T16:30:45.000Z,"The Express Tribune
@etribune
·
11 Jan","Man arrested for ‘extorting’ stranded tourists during #Murree tragedy
#etribune 

https://tribune.com.pk/story/2338204/man-arrested-for-extorting-stranded-tourists-during-murree-tragedy…
5
11
48",,5,11,48,[],https://twitter.com/etribune/status/1480940251296284676
The Express Tribune,@etribune,2022-01-11T16:58:00.000Z,"The Express Tribune
@etribune
·
11 Jan","#Military top brass reviews border management, internal security
#etribune 

https://tribune.com.pk/story/2338207/military-top-brass-reviews-border-management-internal-security…
2
2
15",,2,2,15,[],https://twitter.com/etribune/status/1480947108874231815
The Express Tribune,@etribune,2022-01-11T19:40:13.000Z,"The Express Tribune
@etribune
·
12 Jan","In vaccine-shy Poland, #COVID19 deaths top 100,000

#etribune #latest 

Read here http://bit.ly/34B4zvD
1
5
10",,1,5,10,[],https://twitter.com/etribune/status/1480987931930247171
The Express Tribune,@etribune,2022-01-11T18:09:02.000Z,"The Express Tribune
@etribune
·
11 Jan","FM Qureshi discusses #FATF and Afghan situation with Spanish leadership
#etribune 
https://tribune.com.pk/story/2338232/fm-qureshi-discusses-fatf-afghan-situation-with-spanish-leadership…
3
2
20",,3,2,20,[],https://twitter.com/etribune/status/1480964987095252994
The Express Tribune,@etribune,2022-01-12T19:42:58.000Z,"The Express Tribune
@etribune
·
13 Jan","#WATCH 
Brothers separated during #Partition reunite at #Kartarpur
#etribune 

https://tribune.com.pk/story/2338412/watch-brothers-separated-during-partition-reunite-at-kartarpur…
3
25
170",,3,25,170,[],https://twitter.com/etribune/status/1481351014875906050
The Express Tribune,@etribune,2022-01-12T17:07:21.000Z,"The Express Tribune
@etribune
·
12 Jan","Two brothers reunite at Kartarpur Corridor after being separated during partition. The emotional moment captured the hearts of many as the video went viral online.

For more: https://tribune.com.pk

#etribune #kartarpurcorridor #viralvideo
17
71",,,17,71,['https://pbs.twimg.com/amplify_video_thumb/1481309795139436549/img/Fnjc3yyewpI4hGq1.jpg'],https://twitter.com/etribune/status/1481311853250760707
The Express Tribune,@etribune,2022-01-12T15:18:23.000Z,"The Express Tribune
@etribune
·
12 Jan","PM #ImranKhan and COAS Gen Qamar visit ISI headquarters, briefed on ‘national security’
#etribune 

https://tribune.com.pk/story/2338385/pm-coas-visit-isi-headquarters-briefed-on-national-security…
3
4
59",,3,4,59,[],https://twitter.com/etribune/status/1481284429381312514
The Express Tribune,@etribune,2022-01-12T16:33:22.000Z,"The Express Tribune
@etribune
·
12 Jan","Pakistan-born surgeon among team who made history with pig-to-human heart transplant
#etribune

https://tribune.com.pk/story/2338383/pakistan-born-surgeon-among-team-who-made-history-with-pig-to-human-heart-transplant…
5
10
28",,5,10,28,[],https://twitter.com/etribune/status/1481303298930102277
